Researcher,Affiliation,Companies
"Krom, Michael D.","Morris Kahn Marine Research Station, Department of Marine Biology, Leon H. Charney School of Marine Science, University of Haifa, Haifa 3498838, Israel; School of Earth and Environment, University of Leeds, Woodhouse, Leeds LS2 9JT, United Kingdom","['Division of Earth Sciences [Unknown]', 'Ministry of Science and Technology, Israel [Government]', 'Division of Atmospheric and Geospace Sciences [Unknown]']"
"Krone, Patrick H.","Department of Geological Sciences, University of Saskatchewan, 114 Science Place, Saskatoon, Saskatchewan S7N 5E2, Canada; Department of Anatomy, Physiology and Pharmacology, University of Saskatchewan, Saskatoon, SK S7N 5E5, Canada","['Biological and Environmental Research [Unknown]', 'Canada Foundation for Innovation [Foundation]', 'Canada Research Chairs [Unknown]', 'University of Saskatchewan [University]', 'Natural Sciences and Engineering Research Council of Canada [Unknown]', 'National Institute of General Medical Sciences [University]']"
"Krone, Patrick H.","Toxicology Centre, University of Saskatchewan, Saskatoon, Saskatchewan S7N 5B3, Canada; Department of Anatomy, Physiology and Pharmacology, University of Saskatchewan, Saskatoon, Saskatchewan S7N 5E5, Canada","['Canada Research Chairs [Unknown]', 'Natural Sciences and Engineering Research Council of Canada [Unknown]', 'Canada Research Chairs [Unknown]', 'Natural Sciences and Engineering Research Council of Canada [Unknown]']"
"Kronenberger, Thales","School of Pharmacy, Faculty of Health Sciences, University of Eastern Finland, Kuopio 70211, Finland; Department of Pharmaceutical and Medicinal Chemistry, Institute of Pharmaceutical Sciences, Eberhard-Karls-Universität, Tübingen, Auf der Morgenstelle 8, Tübingen 72076, Germany; Tübingen Center for Academic Drug Discovery & Development (TüCAD2), Tübingen 72076, Germany; Excellence Cluster “Controlling Microbes to Fight Infections” (CMFI), Tübingen 72076, Germany","['Bundesministerium f?r Bildung und Forschung [Unknown]', 'Ministerstvo ?kolstv?, Ml?de?e a Telov?chovy [Unknown]', 'Grantov? Agentura Cesk? Republiky [Unknown]', 'H2020 Health [Unknown]', 'Ministerium f?r Wissenschaft, Forschung und Kunst Baden-W?rttemberg [Unknown]']"
"Kropff, E.","Leloir Institute─IIBBA/CONICET, CBA, Buenos Aires C1405BWE, Argentina","['Economic and Social Research Council [Unknown]', 'National Science Foundation [Foundation]']"
"Kropff, Emilio",,['Not Found [Unknown]']
"Kropff, Emilio","Leloir Institute—IIBBA/CONICET, Av. Patricias Argentinas 435, CBA, Buenos Aires C1405BWE, Argentina",['Agencia Nacional de Promoci??n Cient??fica y Tecnol??gica [Unknown]']
"Kropp, Ian","Department of Biosystems Engineering, Michigan State University, East Lansing, Michigan 48824, United States","['U.S. Environmental Protection Agency [Government]', 'National Science Foundation [Foundation]']"
"Kropp, Jürgen P.","Potsdam Institute for Climate Impact Research (PIK), Member of the Leibniz Association, P.O. Box 6012 03, D-14412 Potsdam, Germany; University of Potsdam, Institute for Environmental Science and Geography, D-14476 Potsdam, Germany","['Bundesministerium f?r Bildung und Forschung [Unknown]', 'Bundesministerium f?r Umwelt, Naturschutz, Bau und Reaktorsicherheit [Unknown]']"
"Krug, Jonathan D.","Center for Environmental Measurement and Modeling, Office of Research and Development, U.S. Environmental Protection Agency, Durham, North Carolina 27709, United States","['Not Found [Unknown]', 'U.S. Environmental Protection Agency [Government]']"
"Krummel, Paul B.","CSIRO Environment, Aspendale, VIC 3195, Australia",['H2020 Marie Sklodowska-Curie Actions [Unknown]']
"Krummel, Paul B.","Climate Science Centre, CSIRO Oceans and Atmosphere, Aspendale 3195, Australia","['Natural Environment Research Council [Unknown]', 'University of Bristol [University]', 'Primary Science Teaching Trust [Foundation]']"
"Krumpen, Thomas","Sea Ice Physics, Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung, 27570 Bremerhaven, Germany","['Leverhulme Trust [Foundation]', 'Helmholtz-Gemeinschaft [Unknown]', 'H2020 Marie Sklodowska-Curie Actions [Unknown]', 'Ocean Frontier Institute [Unknown]']"
"Krupnick, Alan J.","Resources for the Future, 1616 P Street NW, Washington, DC 20036, United States",['Resources for the Future [Unknown]']
"Kruse, Jens","Institute of Bio- and Geosciences, Agrosphere Institute (IBG-3), Forschungszentrum Jülich GmbH, Wilhelm Johnen Straße, 52425 Jülich, Germany; Institute of Crop Science and Resource Conservation (INRES), Soil Science and Soil Ecology, University Bonn, Nussallee 13, 53115 Bonn, Germany",['Deutsche Forschungsgemeinschaft [Unknown]']
"Kruve, Anneli","Department of Environmental Science, Stockholm University, Svante Arrhenius Väg 8, 10691 Stockholm, Sweden; Department of Materials and Environmental Chemistry, Stockholm University, Svante Arrhenius Väg 16, 106 91 Stockholm, Sweden","['Milj?- og F?devareministeriet [Unknown]', 'H2020 Marie Sklodowska-Curie Actions [Unknown]', 'Swedish Research Council for Sustainable Development [Unknown]']"
"Kruve, Anneli","Department of Materials and Environmental Chemistry, Stockholm University, Svante Arrhenius Väg 16, SE-106 91 Stockholm, Sweden; Department of Environmental Science, Stockholm University, Svante Arrhenius Väg 16, SE-106 91 Stockholm, Sweden","['National Institute of Environmental Health Sciences [University]', 'Vetenskapsr?det [Unknown]']"
"Krykunov, Mykhaylo","Department of Chemistry and Biomolecular Science, University of Ottawa, 10 Marie Curie Private, Ottawa, Ontario K1N 6N5, Canada","['Canada First Research Excellence Fund [Unknown]', 'Natural Sciences and Engineering Research Council of Canada [Unknown]']"
"Krystek, Petra","Deltares, Utrecht 3584 BK, The Netherlands",['Grantov? Agentura Cesk? Republiky [Unknown]']
"Krysztofiak, Gisèle","Laboratoire de Physique et Chimie de l’Environnement et de l’Espace (LPC2E), CNRS-Université Orléans-CNES, 45071 Orléans Cedex 2, France","[""Ministry of Science and Technology of the People's Republic of China [Government]"", 'National Natural Science Foundation of China [Foundation]', 'National Research Program for Key Issues in Air Pollution Control [Unknown]']"
"Krzmarzick, Mark J.","School of Civil and Environmental Engineering, Oklahoma State University, Stillwater, Oklahoma 74078, United States","['Funda??o de Amparo ? Ci?ncia e Tecnologia do Estado de Pernambuco [Unknown]', 'Conselho Nacional de Desenvolvimento Cient?fico e Tecnol?gico [Unknown]', 'Coordena??o de Aperfei?oamento de Pessoal de N?vel Superior [Unknown]', 'Strategic Environmental Research and Development Program [Unknown]', 'U.S. Department of Defense [Government]']"
"Krzykwa, Julie C.","Department of Biology, Texas Christian University, Fort Worth, Texas 76129, United States","['Procter and Gamble [Unknown]', 'Texas Christian University [University]', 'Society of Environmental Toxicology and Chemistry [Unknown]']"
"Królikowski, Marek","Department of Physical Chemistry, Faculty of Chemistry, Warsaw University of Technology, Noakowskiego 3, 00-664 Warsaw, Poland",['Ministerstwo Obrony Narodowej [Unknown]']
"Krömer, Jens O.","Department of Environmental Microbiology, Helmholtz Centre for Environmental Research, UFZ, Leipzig 04318, Germany","['European Commission [Unknown]', 'Horizon 2020 Framework Programme [Unknown]', 'Innovationsfonden [Government]']"
"Krömer, Jens O.","Department of Microbial Biotechnology, Helmholtz Centre for Environmental Research - UFZ, Leipzig 04318, Germany",['Horizon 2020 Framework Programme [Unknown]']
"Krüger, Jan Paul","UDATA GmbH − Umwelt und Bildung, Hindenburgstrasse 1, 67433 Neustadt an der Weinstraße, Germany; Departement Umweltgeowissenschaften, Universität Basel, Bernoullistrasse 30, CH-4056 Basel, Switzerland","['Vetenskapsr?det [Unknown]', 'Carl Tryggers Stiftelse f?r Vetenskaplig Forskning [Unknown]']"
"Krüger, Martin","Federal Institute for Geosciences and Natural Resources (BGR), Stilleweg 2, 30655Hannover, Germany",['Bundesministerium f?r Bildung und Forschung [Unknown]']
"Kteeba, Shimaa M.","School of Freshwater Sciences, University of Wisconsin─Milwaukee, Milwaukee, Wisconsin 53204, United States; Faculty of Science, Damietta University, New Damietta, Damietta 34511, Egypt.","['Division of Chemistry [Unknown]', 'University of Wisconsin-Milwaukee [University]', 'Freshwater Collaborative of Wisconsin [Unknown]']"
"Ku, Anthony Y.","National Institute of Clean and Low Carbon Energy, America Research, Mountain View, California 94043, United States; National Institute of Clean and Low Carbon Energy, Beijing 102211, China","[""Ministry of Science and Technology of the People's Republic of China [Government]"", 'U.S. Department of Energy [Government]']"
"Ku, Anthony Y.","Xiron Global Ltd., London W1W 5PF, U.K.","['Andlinger Center for Energy and the Environment, Princeton University [University]', 'New Jersey Resource [Unknown]']"
"Ku, Pei-Jia","Environmental Sciences Division, Oak Ridge National Laboratory, Oak Ridge, Tennessee 37831, United States",['Not Found [Unknown]']
"Ku, Peijia","Department of Biology, University of North Carolina at Greensboro, Greensboro, North Carolina 27402, United States; Environmental Sciences Division, Oak Ridge National Laboratory, Oak Ridge, Tennessee 37831, United States","['National Institute of Food and Agriculture [University]', 'Division of Earth Sciences [Unknown]', 'China Scholarship Council [Unknown]', 'Division of Chemical, Bioengineering, Environmental, and Transport Systems [Unknown]', 'National Institute of Food and Agriculture [University]', 'Division of Chemical, Bioengineering, Environmental, and Transport Systems [Unknown]', 'University of North Carolina at Greensboro [University]']"
"Ku, Tingting","College of Environment and Resource, Research Center of Environment and Health, Shanxi University, Taiyuan, Shanxi 030006, China","['National Key Research and Development Program of China [Unknown]', 'Science and Technology Innovation Group of Shanxi Province [Unknown]', 'National Natural Science Foundation of China [Foundation]']"
"Ku, Tingting","State Key Laboratory of Environmental Chemistry and Ecotoxicology, Research Center for Eco-Environmental Sciences, Chinese Academy of Sciences, Beijing 100085, China; College of Environment and Resource, Research Center of Environment and Health, Shanxi University, Taiyuan 030006, China","[""Ministry of Science and Technology of the People's Republic of China [Government]"", 'China Postdoctoral Science Foundation [Foundation]', 'National Natural Science Foundation of China [Foundation]', ""Ministry of Science and Technology of the People's Republic of China [Government]"", 'National Natural Science Foundation of China [Foundation]', 'Sanming Project of Medicine in Shenzhen [Unknown]']"
"Kuang, Hong-Xuan","State Environmental Protection Key Laboratory of Environmental Pollution Health Risk Assessment, South China Institute of Environmental Sciences, Ministry of Ecology and Environment, Guangzhou 510655, P.R. China","['National Key Research and Development Program of China [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'China Postdoctoral Science Foundation [Foundation]', 'National Natural Science Foundation of China [Foundation]', 'National Common wealth Research Institute [Unknown]']"
"Kuang, Hua","State Key Laboratory of Food Science and Technology, Jiangnan University, Wuxi, Jiangsu 214122, People’s Republic of China; International Joint Research Laboratory for Biointerface and Biodetection and School of Food Science and Technology, Jiangnan University, Wuxi, Jiangsu 214122, People’s Republic of China; Collaborative Innovation center of Food Safety and Quality Control in Jiangsu Province, Jiangnan University, Wuxi, Jiangsu 214122, People’s Republic of China","['National Natural Science Foundation of China [Foundation]', 'National Natural Science Foundation of China [Foundation]', 'National Natural Science Foundation of China [Foundation]']"
"Kuang, Lu","Department of Microbiology, Key Lab of Microbiology for Agricultural Environment, Ministry of Agriculture, College of Life Sciences, Nanjing Agricultural University, Nanjing 210095, China","['National Key Research and Development Program of China [Unknown]', 'Natural Science Foundation of Jiangsu Province [Foundation]', 'China Postdoctoral Science Foundation [Foundation]', 'Fundamental Research Funds for the Central Universities [University]', 'National Natural Science Foundation of China [Foundation]', 'Jiangsu Funding Program for Excellent Postdoctoral Talent [Unknown]']"
"Kuang, Siya","College of Chemistry, Central China Normal University, Wuhan 430079, PR China","['Department of Science and Technology of Hubei Province [Government]', 'Fundamental Research Funds for the Central Universities [University]', 'National Natural Science Foundation of China [Foundation]']"
"Kuang, Wenjian","Key Laboratory of Pollution Control and Ecosystem Restoration in Industry Clusters, Ministry of Education, School of Environment and Energy, South China University of Technology, Guangzhou 510006, P. R. China","['Guangdong Provincial Department of Science and Technology [Government]', 'Natural Science Foundation of Guangdong Province [Foundation]', 'National Natural Science Foundation of China [Foundation]']"
"Kuang, Wenjie","The Key Lab of Pollution Control and Ecosystem Restoration in Industry Clusters, Ministry of Education, School of Environment and Energy, South China University of Technology, Guangzhou510006, PR China","['Guangdong Science and Technology Department [Government]', 'National Natural Science Foundation of China [Foundation]', 'Natural Science Foundation of Guangdong Province [Foundation]', 'Guangdong Special Support Plan for Young Top-notch Talents [Unknown]', 'Guangdong Special Support Plan for Innovation Teams [Unknown]']"
"Kuang, Xiang","Key Laboratory for Aerosol-Cloud-Precipitation of China Meteorological Administration, Nanjing University of Information Science and Technology (NUIST), Nanjing210044, China","['China Scholarship Council [Unknown]', 'National Natural Science Foundation of China [Foundation]']"
"Kuang, Xinmou","Zhejiang Collaborative Innovation Center for High Value Utilization of Byproducts from Ethylene Project, Ningbo, People’s Republic of China; College of Chemical Engineering, Ningbo Polytechnic, Ningbo, People’s Republic of China","['Ningbo Natural Science Foundation [Foundation]', 'Zhejiang Provincial Natural Science Foundation [Foundation]', 'Natural Science Foundation of Ningbo [Foundation]', 'Natural Science Foundation of Zhejiang Province [Foundation]']"
"Kuang, Ye","Institute for Environmental and Climate Research, Jinan University, Guangzhou 511443, China; Guangdong-Hongkong-Macau Joint Laboratory of Collaborative Innovation for Environmental Quality, Jinan University, Guangzhou 511443, China","[""Ministry of Science and Technology of the People's Republic of China [Government]"", 'National Oceanic and Atmospheric Administration [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Natural Science Foundation of Guangdong Province [Foundation]', 'Guangdong Basic and Applied Basic Research Fund Project [Unknown]', 'Guangdong Province [Unknown]', ""Ministry of Science and Technology of the People's Republic of China [Government]"", 'National Natural Science Foundation of China [Foundation]', 'Natural Science Foundation of Guangdong Province [Foundation]', 'Guangdong Province [Unknown]', 'National Research Program for Key Issues in Air Pollution Control [Unknown]', ""Ministry of Science and Technology of the People's Republic of China [Government]"", 'Chinese Academy of Medical Sciences [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Guangdong Province [Unknown]', ""Ministry of Science and Technology of the People's Republic of China [Government]"", 'National Natural Science Foundation of China [Foundation]', 'Guangdong Province [Unknown]', ""Ministry of Science and Technology of the People's Republic of China [Government]"", 'National Natural Science Foundation of China [Foundation]', 'Basic Research Fund of CAMS [Unknown]', ""Ministry of Science and Technology of the People's Republic of China [Government]"", 'National Natural Science Foundation of China [Foundation]', 'National Natural Science Foundation of China [Foundation]', 'China Meteorological Administration Innovation and Development Project [Unknown]', 'Basic Research Fund of CAMS projects [Unknown]', 'Beijing Natural Science Foundation [Foundation]']"
"Kuang, Yu",,"[""Ministry of Science and Technology of the People's Republic of China [Government]"", 'National Natural Science Foundation of China [Foundation]', 'State Key Joint Laboratory of Environment Simulation and Pollution Control [Unknown]']"
"Kuang, Yu","SKL-ESPC, College of Environmental Sciences and Engineering, Center for Environment and Health, Peking University, Beijing 100871, China","[""Ministry of Science and Technology of the People's Republic of China [Government]"", 'National Key Research and Development Program of China [Unknown]', 'High-end Foreign Experts Recruitment Plan of China [Unknown]', 'National Natural Science Foundation of China [Foundation]']"
"Kuang, Yu","State Key Joint Laboratory of Environmental Simulation and Pollution Control, College of Environmental Sciences and Engineering, Peking University, 5 Yiheyuan Road, Beijing 100871, P. R. China","['National Natural Science Foundation of China [Foundation]', 'Second Tibetan Plateau Scientific Expedition and Research [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Second Tibetan Plateau Scientific Expedition and Research [Unknown]']"
"Kubatova, Alena","Department of Chemistry, The University of North Dakota, Grand Forks, North Dakota 58202, United States","['U.S. Environmental Protection Agency [Government]', 'U.S. Department of Defense [Government]', 'Division of Chemical, Bioengineering, Environmental, and Transport Systems [Unknown]', 'National Natural Science Foundation of China [Foundation]']"
"Kubeneck, L. Joëlle","Soil Chemistry Group, Institute of Biogeochemistry and Pollutant Dynamics, Department of Environmental Systems Science, ETH Zurich, CHN, Universitätstrasse 16, Zurich CH-8092, Switzerland","['H2020 European Research Council [Unknown]', 'European Research Council [Unknown]']"
"Kubo, Makoto","Laboratory of Drug Design and Medicinal Chemistry, Showa Pharmaceutical University, 3-3165 Higashi-Tamagawagakuen, Machida, Tokyo 194-8543, Japan","['Core Research for Evolutional Science and Technology [Unknown]', 'Japan Society for the Promotion of Science [Unknown]']"
"Kubo, Shotaro","Division of Earth and Environmental Science, Graduate School of Science and Engineering, Kagoshima University, 1-21-35 Korimoto, Kagoshima 890-0065, Japan","['Kurita Water and Environment Foundation [Foundation]', 'Japan Society for the Promotion of Science [Unknown]']"
"Kubo, Takuya","Department of Material Chemistry, Graduate School of Engineering, Kyoto University, Katsura, Nishikyo-ku, Kyoto 615-8510, Japan",['Environmental Restoration and Conservation Agency [Unknown]']
"Kuboon, Sanchai","National Nanotechnology Center, National Science and Technology Development Agency, 111 Thailand Science Park, Pathum Thani 12120, Thailand","[""Ministry of Science and Technology of the People's Republic of China [Government]"", 'Science and Technology Commission of Shanghai Municipality [Unknown]', 'National Natural Science Foundation of China [Foundation]']"
"Kubota, Azusa","Kitasato University School of Marine Biosciences, 1-15-1 Kitasato, Minami, Sagamihara, Kanagawa 252-0373, Japan; JEOL Ltd., 3-1-2 Musashino, Akishima, Tokyo 196-8558, Japan","['New Energy and Industrial Technology Development Organization [Unknown]', 'Research Institute for Humanity and Nature [Unknown]', 'Japan Society for the Promotion of Science [Unknown]', 'Japan Science and Technology Agency [Unknown]', 'National Institute of Advanced Industrial Science and Technology [University]', 'Environmental Restoration and Conservation Agency [Unknown]']"
"Kubota, Hiroe","Institute for Catalysis, Hokkaido University, N-21, W-10, Sapporo 001-0021, Japan","['Ministry of Education, Culture, Sports, Science and Technology [Government]', 'Japan Society for the Promotion of Science [Unknown]']"
"Kubota, Keiichi","Division of Environmental Engineering Science, Faculty of Science and Technology, Gunma University, Kiryu, Japan",['Japan Society for the Promotion of Science [Unknown]']
"Kubota, Kengo","Department of Civil and Environmental Engineering, Graduate School of Engineering, Tohoku University, 6-6-06 Aoba, Aramaki-Aza, Aoba-ku, Sendai, Miyagi 980-8579, Japan; Department of Frontier Sciences for Advanced Environment, Graduate School of Environmental Studies, Tohoku University, 6-6-06 Aoba, Aramaki-Aza, Aoba-ku, Sendai, Miyagi 980-8579, Japan",['Japan Society for the Promotion of Science [Unknown]']
"Kubowicz, Stephan","SINTEF Industry, 0314 Oslo, Norway",['Norges Forskningsr?d [Unknown]']
"Kubuki, Shiro","Department of Chemistry, Tokyo Metropolitan University, Tokyo 192-0397, Japan",['Tokyo Metropolitan University [University]']
"Kubátová, Alena","Department of Chemistry, University of North Dakota, 151 Cornell Street, Stop 9024, Grand Forks, North Dakota 58202, United States","['U.S. Environmental Protection Agency [Government]', 'University of North Dakota [University]']"
"Kucharik, Christopher J.","Department of Agronomy, College of Agricultural and Life Sciences & Nelson Institute Center for Sustainability and the Global Environment, University of Wisconsin − Madison, Madison, Wisconsin 53706, United States",['Biological and Environmental Research [Unknown]']
"Kucharzyk, Katarzyna H.","Battelle Memorial Institute, Columbus, Ohio 43220, United States","['U.S. Department of Defense [Government]', 'U.S. Department of Defense [Government]']"
"Kuchenbuch, Anne","Department of Environmental Microbiology, Helmholtz Centre for Environmental Research - UFZ, Leipzig04318, Saxony, Germany","['Bundesministerium für Bildung und Forschung [Unknown]', 'Deutscher Akademischer Austauschdienst [Unknown]', 'Helmholtz Association [Unknown]']"
"Kucukkara, Ibrahim","Department of Physics, Mersin University, Mersin, Turkey","['Mersin Üniversitesi [Unknown]', 'Ãœniversitesi [Unknown]']"
"Kudoh, Sakae","National Institute of Polar Research, Research Organization of Information and Systems, 10-3 Midori-cho, Tachikawa, Tokyo 190-8518, Japan; Department of Polar Science, SOKENDAI (The Graduate University for Advanced Studies), 10-3 Midori-cho, Tachikawa, Tokyo 190-8518, Japan","['Japan Society for the Promotion of Science [Unknown]', 'Japan Society for the Promotion of Science [Unknown]']"
"Kuebler, Jesse","Department of Mechanical & Materials Engineering, University of Nebraska─Lincoln, Lincoln, Nebraska 68588-0526, United States","['National Science Foundation [Foundation]', 'University of Nebraska Collaborative Initiative [University]', 'University of Nebraska Buffet Early Child Institute [University]', 'Not Found [Unknown]']"
"Kuehn, Meta J.","Department of Biochemistry, Duke University Medical Center, Durham, North Carolina 27710, United States","['National Institute of Environmental Health Sciences [University]', 'Division of Integrative Organismal Systems [Unknown]', 'National Science Foundation [Foundation]', 'Office of International Science and Engineering [Unknown]']"
"Kuehn, Meta","Department of Biochemistry, Duke University Medical Center, Durham, North Carolina 27710, United States",['National Science Foundation [Foundation]']
"Kuenzli, Nino","Swiss Tropical and Public Health Institute (Swiss TPH), Basel 4051, Switzerland; University of Basel, Basel 4001, Switzerland",['Novo Nordisk Fonden [Unknown]']
"Kuesel, Ryan William","Department of Entomology, Washington State University, Pullman, Washington 99164, United States",['Foreign Agricultural Service [Unknown]']
"Kuhl, Tonya L.","Department of Chemical Engineering, University of California, 1 Shields Ave, Davis, California 95616, United States","['Division of Earth Sciences [Unknown]', 'American Chemical Society Petroleum Research Fund [Unknown]', 'Hellman Foundation [Foundation]', 'PEO international [Unknown]']"
"Kuhn, Uwe","Multiphase Chemistry Department, Max Planck Institute for Chemistry, Mainz 55128, Germany","['Max-Planck-Gesellschaft [Unknown]', 'China Scholarship Council [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'FP7 Environment [Unknown]', 'Guangdong Innovative and Entrepreneurial Research Team Program [Unknown]', 'Max-Planck-Gesellschaft [Unknown]', 'China Scholarship Council [Unknown]', 'Max-Planck-Gesellschaft [Unknown]']"
"Kuhne, Wendy W.","Savannah River National Laboratory, Aiken, South Carolina 29808, United States","['Biological and Environmental Research [Unknown]', 'Office of Environmental Management [Unknown]']"
"Kuikka, Sakari","Ecosystems and Environment Research Programme, Faculty of Biological and Environmental Sciences, University of Helsinki, 00014 Helsinki, Finland","['European Commission [Unknown]', 'Academy of Finland [Unknown]', 'Strategic Research Council, Academy of Finland [Unknown]', 'Helsinki Institute of Sustainability Science, University of Helsinki [University]']"
"Kuiper, Grace","Department of Environmental and Radiological Health Sciences, Colorado State University, Fort Collins, Colorado 80523-1019, United States",['National Institutes of Health [Government]']
"Kuiper, Jordan R.","Department of Environmental Health and Engineering, Bloomberg School of Public Health, Johns Hopkins University, Baltimore, Maryland 21205, United States","['National Institute of Environmental Health Sciences [University]', 'NIH Office of the Director [Government]', 'National Institute of Environmental Health Sciences [University]', 'National Heart, Lung, and Blood Institute [Unknown]']"
"Kuipers, Koen J. J.","Department of Environmental Science, Radboud Institute for Biological and Environmental Sciences (RIBES), Radboud University, 6525AJ Nijmegen, The Netherlands","['Eidgen?ssische Technische Hochschule Z?rich [Unknown]', 'Schweizerischer Nationalfonds zur F?rderung der Wissenschaftlichen Forschung [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'HORIZON EUROPE Climate, Energy and Mobility [Unknown]', 'Norges Teknisk-Naturvitenskapelige Universitet [University]', 'Horizon 2020 Framework Programme [Unknown]']"
"Kuippers, Gina","Research Centre for Radwaste Disposal & Williamson Research Centre for Molecular Environmental Science, Department of Earth and Environmental Sciences, University of Manchester, Oxford Road, Manchester M13 9PL, U.K.","['Royal Society [Unknown]', 'EnvRadNet [Unknown]', 'Radioactive Waste Management Limited [Unknown]', 'EU MIND programme [Unknown]', 'NERC [Unknown]']"
"Kuittinen, Niina","Aerosol Physics Laboratory, Physics Unit, Faculty of Engineering and Natural Sciences, Tampere University, P.O. Box 692, FI-33014 Tampere, Finland","['European Commission [Unknown]', 'Tekes [Unknown]', 'KAUTE-S????ti?? [Unknown]', 'Tampereen Yliopisto [Unknown]', 'Gasum [Unknown]', 'Jenny ja Antti Wihurin Rahasto [Unknown]', 'Academy of Finland [Unknown]', 'Oiltanking Finland Oy [Unknown]', 'KINE Robot Solutions Oy [Unknown]', 'HaminaKotka Satama Oy [Unknown]', 'Neste Oyj [Unknown]', 'AGCO Power [Unknown]', 'Pegasor Oy [Unknown]', 'VG-Shipping [Unknown]', 'Dekati Oy [Unknown]', 'Spectral Engines Oy [Unknown]', 'Dinex Ecocat Oy [Unknown]', 'W??rtsil?? Finland Oy [Unknown]', 'Tekes [Unknown]', 'AGCO Power Oy [Unknown]', 'Dinex  Ecocat Oy [Unknown]', 'Neste Oyj [Unknown]', 'Pegasor Oy [Unknown]', 'W?rtsil? Oy [Unknown]']"
"Kujansuu, Joni T.","Aerosol and Haze Laboratory, Beijing Advanced Innovation Center for Soft Matter Science and Engineering, Beijing University of Chemical Technology, Beijing 100089, China; Institute for Atmospheric and Earth System Research/Physics, Faculty of Science, University of Helsinki, Helsinki 00560, Finland","['Suomen Akatemia [Unknown]', 'H2020 European Research Council [Unknown]']"
"Kujawski, David","Refinery Water Engineering & Associates, Hydrocarbon Processing Water & Waste Technology, Inc., 15634 Wallisville Road, Houston, Texas 77042, United States","['Georgia Research Alliance [Unknown]', 'China Scholarship Council [Unknown]', 'Chinese Academy of Sciences [Unknown]', 'Woodruff School of Mechanical Engineering, Georgia Institute of Technology [University]', 'Brook Byers Institute for Sustainable Systems, Georgia Institute of Technology [University]']"
"Kukkadapu, Ravi K.","Environmental Molecular Sciences Laboratory, Pacific Northwest National Laboratory, Richland, Washington, 99354, United States","['United States - Israel Binational Agricultural Research and Development Fund [Unknown]', 'Council for Higher Education [Unknown]', 'U.S. Department of Energy [Government]']"
"Kukkadapu, Ravi","Environmental Molecular Sciences Laboratory, Pacific Northwest National Laboratory, Richland, Washington 99352, United States",['National Natural Science Foundation of China [Foundation]']
"Kukkola, Anna","School of Geography, Earth and Environmental Sciences, University of Birmingham, Edgbaston, Birmingham B15 2TT, U.K.","['Agence Nationale de la Recherche [Unknown]', 'Universit? de Lyon [University]', 'Centre National de la Recherche Scientifique [Unknown]']"
"Kukkonen, Jaakko","Finnish Meteorological Institute, Erik Palmenin aukio 1, FI-00560 Helsinki, Finland; Centre for Atmospheric and Climate Physics Research and Centre for Climate Change Research, University of Hertfordshire, College Lane, Hatfield, AL10 9AB, United Kingdom","['Horizon 2020 Framework Programme [Unknown]', 'NordForsk [Unknown]']"
"Kukkonen, Jussi V. K.","Department of Environmental and Biological Sciences, University of Eastern Finland, Joensuu-Kuopio 80101, Finland","['OLVI-S??ti? [Unknown]', 'Jenny ja Antti Wihurin Rahasto [Unknown]', 'Suomen Akatemia [Unknown]', 'Horizon 2020 Framework Programme [Unknown]', 'Saastamoisen s??ti? [Unknown]', 'It?-Suomen Yliopisto [Unknown]']"
"Kukucka, Petr","Research Centre for Toxic Compounds in the Environment (RECETOX), Faculty of Science, Masaryk University, Kamenice 3/126, 625 00 Brno,Czech Republic","['Division of Ocean Sciences [Unknown]', 'Ministerstvo ?kolstva, vedy, v?skumu a ?portu Slovenskej republiky [Unknown]', 'European Regional Development Fund [Unknown]']"
"Kukučka, Petr","Faculty of Science, RECETOX, Masaryk University, Brno 602 00, Czech Republic","['Vetenskapsr?det [Unknown]', 'General Secretariat for Research and Technology [Unknown]', 'Ministerstvo ?kolstv?, Ml?de?e a Telov?chovy [Unknown]', 'Grantov? Agentura Cesk? Republiky [Unknown]', 'Jihomoravsk? centrum pro mezin?rodn? mobilitu [Unknown]', 'Horizon 2020 Framework Programme [Unknown]', 'Eesti Teadusagentuur [Unknown]', 'Norwegian Fram Center [Unknown]', 'Brno City Municipality [Unknown]']"
"Kukučka, Petr","RECETOX, Masaryk University, Kamenice 753/5, 625 00 Brno, Czech Republic","['European Commission [Unknown]', 'Ministerstvo ?kolstv?, Ml?de?e a Telov?chovy [Unknown]', 'Horizon 2020 Framework Programme [Unknown]', 'H2020 Environment [Unknown]', 'Ministerstvo ?kolstv?, Ml?de?e a Telov?chovy [Unknown]', 'Horizon 2020 Framework Programme [Unknown]']"
"Kukučka, Petr","Research Centre for Toxic Compounds in the Environment, Masaryk University, Brno 601 77, Czech Republic","['Ministerstvo ?kolstv?, Ml?de?e a Telov?chovy [Unknown]', 'Grantov? Agentura Cesk? Republiky [Unknown]', 'Horizon 2020 Framework Programme [Unknown]']"
